error in line 20 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 42 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 48 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 49 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 50 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 51 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 52 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 53 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 54 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 55 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 56 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 88 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 89 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 106 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 147 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 161 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 182 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 189 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 196 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 216 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 299 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 333 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 338 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 339 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 340 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 341 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 355 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 356 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 395 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 448 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 449 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 474 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 479 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 495 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 496 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 497 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 531 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
error in line 532 in elem: 1. Incorrect pair vote and/or party. Please, check line: 
